Average Queue length,Phase,Step,Action,Reward,Total Queue Length
1.45,1.0,0.526,3,-1.45,58
1.45,1.0,0.527,3,-1.45,58
1.45,1.0,0.528,3,-1.45,58
1.45,0.33333334,0.529,1,-1.45,58
1.4,1.0,0.53,3,-1.4,56
1.35,1.0,0.531,3,-1.35,54
1.3,1.0,0.532,3,-1.3,52
1.25,1.0,0.533,3,-1.25,50
1.2,1.0,0.534,3,-1.2,48
1.15,1.0,0.535,3,-1.15,46
1.15,1.0,0.536,3,-1.15,46
1.1,1.0,0.537,3,-1.1,44
1.125,1.0,0.538,3,-1.125,45
1.15,1.0,0.539,3,-1.15,46
1.175,1.0,0.54,3,-0.675,47
1.175,1.0,0.541,3,-1.175,47
1.2,1.0,0.542,3,-0.7,48
1.3,1.0,0.543,3,-1.3,52
1.325,1.0,0.544,3,-1.325,53
1.325,1.0,0.545,3,-1.325,53
1.4,1.0,0.546,3,-1.4,56
1.425,1.0,0.547,3,-1.425,57
1.425,1.0,0.548,3,-1.425,57
1.425,1.0,0.549,3,-1.425,57
1.425,1.0,0.55,3,-1.425,57
1.375,0.33333334,0.551,1,-1.375,55
1.275,1.0,0.552,3,-1.275,51
1.25,1.0,0.553,3,-1.25,50
1.275,1.0,0.554,3,-1.275,51
1.25,0.33333334,0.555,1,-1.25,50
1.25,0.33333334,0.556,1,-1.25,50
1.25,1.0,0.557,3,-1.25,50
1.175,0.33333334,0.558,1,-1.175,47
1.175,0.33333334,0.559,1,-1.175,47
1.15,1.0,0.56,3,-1.15,46
1.125,0.33333334,0.561,1,-1.125,45
1.125,0.33333334,0.562,1,-1.125,45
1.15,0.33333334,0.563,1,-0.6499999999999999,46
1.125,0.33333334,0.564,1,-1.125,45
1.15,1.0,0.565,3,-0.6499999999999999,46
1.125,0.6666667,0.566,2,-1.125,45
1.125,0.33333334,0.567,1,-0.125,45
1.05,0.6666667,0.568,2,-1.05,42
1.025,1.0,0.569,3,-0.5249999999999999,41
1.025,0.33333334,0.57,1,-1.025,41
1.05,1.0,0.571,3,-0.050000000000000044,42
0.975,0.33333334,0.572,1,-0.475,39
0.975,0.33333334,0.573,1,-0.975,39
1.025,0.33333334,0.574,1,-1.025,41
1.025,0.33333334,0.575,1,-1.025,41
1.125,0.33333334,0.576,1,-1.125,45
1.125,0.6666667,0.577,2,-1.125,45
1.05,1.0,0.578,3,-0.55,42
1.025,0.33333334,0.579,1,-1.025,41
0.95,0.33333334,0.58,1,-0.95,38
0.95,0.6666667,0.581,2,-0.44999999999999996,38
0.875,0.0,0.582,0,-0.875,35
0.725,0.33333334,0.583,1,-0.725,29
0.7,0.33333334,0.584,1,-0.19999999999999996,28
0.7,1.0,0.585,3,-0.7,28
0.65,0.33333334,0.586,1,-0.65,26
0.725,0.33333334,0.587,1,-0.725,29
0.775,0.33333334,0.588,1,-0.775,31
0.8,0.6666667,0.589,2,0.19999999999999996,32
0.725,0.0,0.59,0,-0.725,29
0.8,0.0,0.591,0,-0.30000000000000004,32
0.75,0.0,0.592,0,-0.25,30
0.7,0.0,0.593,0,-0.7,28
0.775,0.6666667,0.594,2,-0.775,31
0.825,0.0,0.595,0,-0.825,33
0.75,0.0,0.596,0,-0.75,30
0.725,1.0,0.597,3,0.275,29
0.65,0.33333334,0.598,1,-0.65,26
0.575,0.33333334,0.599,1,-0.575,23
0.475,1.0,0.6,3,0.025000000000000022,19
0.5,0.0,0.601,0,-0.5,20
0.5,0.33333334,0.602,1,0.5,20
0.575,0.6666667,0.603,2,-0.575,23
0.6,0.33333334,0.604,1,-0.6,24
0.575,0.6666667,0.605,2,-0.575,23
0.65,0.0,0.606,0,-0.15000000000000002,26
0.675,0.6666667,0.607,2,-0.675,27
0.65,0.33333334,0.608,1,-0.15000000000000002,26
0.725,0.6666667,0.609,2,-0.725,29
0.775,1.0,0.61,3,-0.275,31
0.85,0.33333334,0.611,1,-0.85,34
0.75,0.33333334,0.612,1,-0.75,30
0.775,0.33333334,0.613,1,-0.275,31
0.7,0.33333334,0.614,1,-0.19999999999999996,28
0.75,0.33333334,0.615,1,-0.75,30
0.775,1.0,0.616,3,-0.275,31
0.775,1.0,0.617,3,-0.775,31
0.775,0.0,0.618,0,-0.275,31
0.725,0.0,0.619,0,-0.725,29
0.725,0.33333334,0.62,1,-0.725,29
0.7,0.0,0.621,0,-0.7,28
0.675,0.0,0.622,0,0.32499999999999996,27
0.525,0.0,0.623,0,-0.525,21
0.55,0.0,0.624,0,-0.55,22
0.5,0.33333334,0.625,1,0.0,20
0.475,0.0,0.626,0,0.025000000000000022,19
0.525,0.0,0.627,0,-0.525,21
0.6,1.0,0.628,3,-0.6,24
0.575,0.0,0.629,0,-0.07499999999999996,23
0.6,1.0,0.63,3,-0.09999999999999998,24
0.475,0.0,0.631,0,-0.475,19
0.425,0.6666667,0.632,2,-0.425,17
0.45,0.0,0.633,0,0.04999999999999999,18
0.45,1.0,0.634,3,0.04999999999999999,18
0.475,0.33333334,0.635,1,-0.475,19
0.4,0.33333334,0.636,1,0.09999999999999998,16
0.425,0.0,0.637,0,0.07500000000000001,17
0.425,0.6666667,0.638,2,-0.425,17
0.55,0.6666667,0.639,2,-0.050000000000000044,22
0.525,0.0,0.64,0,-0.525,21
0.55,0.0,0.641,0,-0.55,22
0.6,0.0,0.642,0,-0.09999999999999998,24
