Queue length,Phase,Step,Action,Reward,Total Queue Length
0.05,0.33333334,0.527,1,-0.2,0.25
0.05,0.0,0.528,0,-0.2,0.25
0.075,0.33333334,0.529,1,-0.2,0.375
0.075,0.33333334,0.53,1,-0.2,0.375
0.05,0.6666667,0.531,2,-0.2,0.25
0.025,0.33333334,0.532,1,-0.2,0.125
0.025,0.6666667,0.533,2,-0.2,0.125
0.0,0.6666667,0.534,2,0.0,0.0
0.0,0.6666667,0.535,2,0.0,0.0
0.0,0.6666667,0.536,2,0.0,0.0
0.0,0.6666667,0.537,2,0.0,0.0
0.0,0.6666667,0.538,2,0.0,0.0
0.0,0.6666667,0.539,2,0.0,0.0
0.0,0.6666667,0.54,2,0.0,0.0
0.0,0.6666667,0.541,2,0.0,0.0
0.1,0.33333334,0.542,1,-0.2,0.5
0.0,0.6666667,0.543,2,0.0,0.0
0.0,0.6666667,0.544,2,0.0,0.0
0.0,0.6666667,0.545,2,0.0,0.0
0.075,0.33333334,0.546,1,-0.2,0.375
0.0,0.6666667,0.547,2,0.0,0.0
0.0,0.6666667,0.548,2,0.0,0.0
0.0,0.6666667,0.549,2,0.0,0.0
0.0,0.6666667,0.55,2,0.0,0.0
0.0,0.6666667,0.551,2,0.0,0.0
0.0,0.6666667,0.552,2,0.0,0.0
0.0,0.6666667,0.553,2,0.0,0.0
0.025,0.33333334,0.554,1,-0.2,0.125
0.0,0.6666667,0.555,2,0.0,0.0
0.05,0.0,0.556,0,-0.2,0.25
0.025,1.0,0.557,3,-0.2,0.125
0.05,0.0,0.558,0,-0.2,0.25
0.05,1.0,0.559,3,-0.2,0.25
0.05,1.0,0.56,3,-0.2,0.25
0.05,1.0,0.561,3,-0.2,0.25
0.025,0.6666667,0.562,2,-0.2,0.125
0.0,0.6666667,0.563,2,0.0,0.0
0.0,0.6666667,0.564,2,0.0,0.0
0.0,0.6666667,0.565,2,0.0,0.0
0.0,0.6666667,0.566,2,0.0,0.0
0.0,0.6666667,0.567,2,0.0,0.0
0.0,0.6666667,0.568,2,0.0,0.0
0.0,0.6666667,0.569,2,0.0,0.0
0.0,0.6666667,0.57,2,0.0,0.0
0.0,0.6666667,0.571,2,0.0,0.0
0.1,0.33333334,0.572,1,-0.2,0.5
0.0,0.6666667,0.573,2,0.0,0.0
0.0,0.6666667,0.574,2,0.0,0.0
0.0,0.6666667,0.575,2,0.0,0.0
0.075,0.33333334,0.576,1,-0.2,0.375
0.0,0.6666667,0.577,2,0.0,0.0
0.0,0.6666667,0.578,2,0.0,0.0
0.0,0.6666667,0.579,2,0.0,0.0
0.0,0.6666667,0.58,2,0.0,0.0
0.0,0.6666667,0.581,2,0.0,0.0
0.0,0.6666667,0.582,2,0.0,0.0
0.0,0.6666667,0.583,2,0.0,0.0
0.0,0.6666667,0.584,2,0.0,0.0
0.075,0.33333334,0.585,1,-0.2,0.375
0.05,0.0,0.586,0,-0.2,0.25
